datestr,ff1,tffrm,possible,MPS,MPS_ORTH,NFP_SURP,NFP_12M,SP500_3M,SLOPE_3M,BCOM_3M,TR_SKEW
1988-02-01,,-0.125,1,0.012,-0.0183,0.151,0.0301,0.0017,-0.82,0.0171,0.2353
1988-03-01,,0,1,0.0131,-0.0386,0.331,0.0321,0.0314,-0.17,0.0277,0.725
1988-04-01,,0.25,1,0.0615,0.0095,0.062,0.0323,0.0568,-0.27,0.0277,0.7065
1988-05-01,,0.5,1,0.1832,0.1587,-0.08,0.0314,0.0207,0.22,0.0319,0.4207
1988-06-01,,0.1875,1,0.0288,-0.0062,-0.0135,0.0313,0.0136,-0.14,0.1283,0.1736
1988-07-01,,0.25,1,0.073,0.0299,-0.0135,0.0331,0.0504,-0.65,0.0961,0.1621
1988-08-01,,0.4375,1,0.1926,0.1547,0.035,0.0318,0.0423,-0.48,0.0322,0.3642
1988-09-01,,0,1,-0.0047,-0.0045,-0.01,0.0313,-0.0035,-0.74,-0.1183,0.1369
1988-10-01,,0,0,0,0,,,,,,
1988-11-01,0.03214,0.25,1,0.0968,0.0766,-0.0275,0.03,0.0249,-0.78,-0.0537,0.2808
1988-12-01,0.01937,0.3125,1,0.0501,0.0218,0.213,0.0309,0.029,-0.71,-0.009,0.2216
1989-01-01,0,0.3125,1,0.0391,-0.0032,0.029,0.0307,0.0313,-0.61,0.0896,0.2555
1989-02-01,0.02,0.75,1,0.1481,0.0991,0.153,0.0323,0.0777,-0.98,0.0346,0.285
1989-03-01,-0.07,0,1,-0.0132,-0.0475,0.0465,0.0304,0.05,-0.68,0.029,0.226
1989-04-01,0,0,0,0,0,,,,,,
1989-05-01,-0.02214,0.0625,1,-0.0067,-0.0329,-0.103,0.0288,0.0766,-0.06,0.0353,0.2401
1989-06-01,-0.0125,-0.25,1,-0.0436,-0.0716,-0.099,0.0277,0.1049,-0.55,-0.0209,0.2471
1989-07-01,-0.03583,-0.5,1,-0.053,-0.0619,-0.0175,0.0253,0.0851,0.02,-0.0456,0.1867
1989-08-01,0,0,1,-0.0147,-0.0175,0.009,0.0236,0.0603,-0.07,-0.0191,0.0107
1989-09-01,0,0,0,0,0,,,,,,
