Date,NFP_SURP,NFP_12M,SP500_3M,SLOPE_3M,BCOM_3M,TR_SKEW
2/1/1988,0.319840731,3.00857692,9.749486746,-0.179071156,0.017116924,0.227268811
3/1/1988,-0.288162884,3.212826241,8.339949647,-0.334633798,0.027170435,0.49550854
4/1/1988,0.817592861,3.135576011,5.681999327,0.241408314,0.010415125,0.720499676
5/1/1988,0.116094729,3.135576011,4.680606797,0.288706809,4.355915238,0.558406986
6/1/1988,-0.252700334,3.129579516,-0.114363855,0.028362572,10.09194601,0.252643599
7/1/1988,-0.081250384,3.306836201,5.035076815,-0.512245513,9.613152071,0.170525418
8/1/1988,0.267077433,3.179331966,3.068435861,-0.551992108,1.946948702,0.272863526
9/1/1988,0.045073744,3.12768774,-0.244429795,-0.528201639,-2.622709183,0.252525259
10/1/1988,-0.070816872,3.226581059,0.34260847,-0.578214534,-11.35998908,0.155373752
11/1/1988,-0.070816872,2.997158644,2.522870092,-0.593263777,-5.21748459,0.26037665
12/1/1988,0.192430204,3.090884132,4.242945864,-0.580929586,-1.446838431,0.378806627
1/1/1989,0.497526053,3.074914914,3.160473303,-0.704342781,7.905370892,0.247519495
2/1/1989,0.028573583,3.231930212,7.02855621,-0.737236687,6.140752144,0.309546659
3/1/1989,0.342746448,3.036506983,7.123071136,-0.579189583,5.363648098,0.234297586
4/1/1989,0.073808537,2.953399326,6.313101382,-0.635977553,4.223368063,0.2508102
5/1/1989,0.073808537,2.878946072,6.84993291,-0.113502382,1.660142493,0.331216968
6/1/1989,-0.305069277,2.772696704,10.76093324,-0.138743755,-1.921185502,0.261926826
7/1/1989,-0.294710789,2.532089364,8.345551943,0.337335975,-5.305734551,0.222509577
8/1/1989,-0.090488643,2.358513772,11.14534266,0.216063097,-8.802295437,0.096616229
9/1/1989,-0.022457625,2.198034214,9.212284572,-0.02616849,-3.872350049,0.033739698
10/1/1989,-0.022457625,2.198034214,6.918722993,-0.083247212,0.714095244,0.095384461
11/1/1989,-0.210827648,2.04894666,-1.666608546,-0.030249993,3.039068999,-0.036643839
12/1/1989,0.150202963,1.982708692,-1.106605196,0.223326926,2.94125047,-0.069475866
1/1/1990,0.067476177,1.796705326,2.376629482,0.085776576,2.478956705,0.040675644
2/1/1990,0.067476177,1.881205613,-1.800877148,0.228116092,3.280273928,0.073879542
3/1/1990,0.211196719,1.852835637,-3.575081497,0.235015805,4.067747851,0.116239407
4/1/1990,0.327465644,1.858647546,-2.575821572,0.210278849,1.172136085,0.040061493
5/1/1990,0.327465644,1.731816211,1.437121739,0.056635309,1.17871871,0.031957908
6/1/1990,-0.803916415,1.673460295,8.963465238,0.042654167,-1.538828694,0.074058905
7/1/1990,-0.803916415,1.673460295,4.577808301,0.174548843,-3.111925723,0.149147467
8/1/1990,-0.193927252,1.602721976,7.895997641,0.20247719,-0.462321581,0.124826874
9/1/1990,-0.589282234,1.365039613,-11.32257471,0.707901244,10.99534618,0.079470157
10/1/1990,-0.589282234,1.059250262,-14.87636718,0.759858556,22.58899216,0.317900157
11/1/1990,-0.296610129,0.827167987,-15.83242719,0.580202364,9.094785181,0.392205339
12/1/1990,-0.159826684,0.431244762,-0.609522535,-0.043243791,-0.981449019,0.495458709
1/1/1991,-0.524108736,0.304581803,9.274850664,0.019430379,-11.73477932,0.530274606
2/1/1991,-0.621191987,-0.642617408,13.04085234,0.157906252,-17.02327619,0.49833694
3/1/1991,-0.621191987,-0.642617408,14.8197718,0.503053152,-15.92563169,0.388616437
4/1/1991,-0.238280524,-0.982556666,12.87229641,0.443117009,-8.167872764,0.394834246
5/1/1991,-0.195939173,-1.214560118,11.05127787,0.475540457,-0.388740983,0.312315826
6/1/1991,-0.017453917,-1.444442555,5.833457204,0.429213478,-2.239466964,0.24627741
7/1/1991,-0.017453917,-1.393367487,-1.122569393,0.368407756,-5.368145073,0.226644466
8/1/1991,-0.296619556,-1.398431813,3.716921984,0.197447691,-1.474817045,0.229138561
9/1/1991,-0.299113368,-1.199619719,2.165245544,0.244107787,1.625179113,0.150242202
10/1/1991,-0.060210755,-1.09062947,3.53196837,0.080539594,5.476748224,0.037212116
11/1/1991,-0.085339863,-0.847735421,1.189364901,0.363447579,3.650235366,-0.002465359
12/1/1991,-0.110509396,-0.847735421,-5.551658135,0.553735161,0.798134951,0.083593958
