Date,possible,multsch,MP1,MP2,FF1,FF2,FF3,FF4,FF5,FF6,ED1,ED2,ED3,ED4,ED5,ED6,ED7,ED8,UST3M,UST6M,UST2Y,UST5Y,UST10Y,UST30Y,SP500,SPFUT,EURUSD,FF4_MR,NFP_SURP,NFP_12M,SP500_3M,SLOPE_3M,BCOM_3M,TR_SKEW,SEP,PC,OIS1Y,OIS2Y,TIPS5Y,TIPS10Y,TIPS30Y,DXY,USDJPY,dlcons,liststr,schedstr,mainstr,bcff_time,bcei_time,mps_orig1,mps_orig2
2/1/1988,1,1,,,,,,,,,0.01,-0.01,-0.02,-0.02,,,,,,,,,-9.00E-05,0.00324,-0.09343,-0.056,,,0.319840731,3.00857692,9.749486746,-0.178984523,0.017116924,0.227268811,,,,,,,,,,0.895974137,"1988-02-04,1988-02-05,1988-02-11",2/11/1988,2/11/1988,0,0,0.0120,0.0146
3/1/1988,1,0,,,,,,,,,0.005,0.01,0,0,,,,,,,,,-0.0141,-0.0125,-0.2292,,,,-0.292121508,3.212826241,8.339949647,-0.334512621,0.027170435,0.49550854,,,,,,,,,,-0.40080214,3/30/1988,,3/30/1988,1,0,0.0131,0
4/1/1988,1,1,,,,,,,,,0.04,0.02,0.03,0.01,,,,,,,,,-0.00945,-0.00717,-0.46444,-0.46338,,,0.816369439,3.135576011,5.681999327,0.241453316,0.010415125,0.720499676,,,,,,,,,,0.550697024,"1988-04-04,1988-04-05,1988-04-06",,4/5/1988,0,0,0.0615,0.0637
5/1/1988,1,1,,,,,,,,,0.11,0.13,0.09,0.1,,,,,,,,,0.04389,0.03802,-0.08039,-0.15352,,,0.113136078,3.135576011,4.680606797,0.288602773,4.355915238,0.558406986,,,,,,,,,,0.284177179,"1988-05-09,1988-05-10,1988-05-18,1988-05-19,1988-05-20,1988-05-25,1988-05-26",5/18/1988,5/26/1988,0,0,0.1832,0.1881
6/1/1988,1,1,,,,,,,,,0.01,0.01,0,,,,,,,,,,-0.00487,-0.00378,-0.00717,-0.09161,,,-0.256571237,3.129579516,-0.114363855,0.028159543,10.09194601,0.252643599,,,,,,,,,,0.23734157,"1988-06-17,1988-06-20",,6/17/1988,0,0,0.0288,0.0303
7/1/1988,1,1,,,,,,,,,0.04,0.03,0.05,0.04,,,,,,,,0.01915,0.03865,0.02223,-0.23288,-0.55289,,,-0.084697188,3.306836201,5.035076815,-0.512316285,9.613152071,0.170525418,,,,,,,,,,0.498754151,"1988-07-01,1988-07-19,1988-07-20",7/1/1988,7/19/1988,0,1,0.0730,0.0751
8/1/1988,1,1,,,,,,,,,0.14,0.18,0.14,0.16,,,,,,,,0.07332,0.05375,0.06112,-0.90997,-0.67705,,,0.264492254,3.179331966,3.068435861,-0.552088777,1.946948702,0.272863526,,,,,,,,,,-0.253142429,"1988-08-09,1988-08-17",8/17/1988,8/9/1988,0,0,0.1926,0.1939
9/1/1988,1,0,,,,,,,,,-0.01,-0.01,-0.01,-0.01,,,,,,,,-0.01149,-0.00957,-0.01093,0.09642,0.11007,,,0.041939416,3.12768774,-0.244429795,-0.528271809,-2.622709183,0.252525259,,,,,,,,,,0.796816965,9/21/1988,9/21/1988,9/21/1988,0,0,-0.0047,-0.0037
10/1/1988,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.074237868,3.226581059,0.34260847,-0.578263797,-11.35998908,0.155373752,,,,,,,,,,0.259834288,,,,0,0,0.0000,0
11/1/1988,1,1,0.03214,,,,,,,,0.03,0.07,0.08,0.07,,,,,,,,0.03045,0.02854,0.03217,-0.13633,-0.02071,,,-0.074237868,2.997158644,2.522870092,-0.593199469,-5.21748459,0.26037665,,,,,,,,,,0.471049577,"1988-11-02,1988-11-07,1988-11-08",11/2/1988,11/8/1988,0,1,0.0968,0.0988
12/1/1988,1,0,0.01937,,,,,,,,0.03,0.06,0.03,0.05,,,,,,,,0.03907,0.039,0.02186,0,-0.23333,,,0.189660377,3.090884132,4.242945864,-0.580909816,-1.446838431,0.378806627,,,,,,,,,,0.234487235,12/15/1988,12/15/1988,12/15/1988,0,0,0.0501,0.0506
1/1/1989,1,1,,,,,,,,,0.02,0.02,-0.03,-0.03,,,,,,,,-0.01571,-0.00489,-0.00363,0.02151,-0.14118,,,0.495510912,3.074914914,3.160473303,-0.704392489,7.905370892,0.247519495,,,,,,,,,,-0.178621003,"1989-01-06,1989-01-09,1989-01-10",,1/9/1989,0,0,0.0391,0.0415
2/1/1989,1,1,0.02,,,,,,,,0.07,0.06,0.08,0.12,,,,,,,,0.03958,0.03942,0.03298,0.19795,-0.22446,,,0.02539844,3.231930212,7.02855621,-0.737306724,6.140752144,0.309546659,,,,,,,,,,-0.064673266,"1989-02-09,1989-02-14,1989-02-23,1989-02-24",2/9/1989,2/23/1989,0,0,0.1481,0.1591
3/1/1989,1,0,-0.07,,,,,,,,-0.02,-0.01,-0.03,-0.02,,,,,,,,-0.00397,-0.01483,-0.00736,0.0137,0.08447,,,0.340348444,3.036506983,7.123071136,-0.579256512,5.363648098,0.234297586,,,,,,,,,,0.569437868,3/29/1989,3/29/1989,3/29/1989,1,0,-0.0132,-0.0123
4/1/1989,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.070745287,2.953399326,6.313101382,-0.636030902,4.223368063,0.2508102,,,,,,,,,,-0.100050033,,,,0,0,0.0000,0
5/1/1989,1,0,-0.02214,,,,,,,,-0.02,-0.01,-0.01,-0.03,,,,,,,,-0.01154,-0.00473,0,0.01584,0.03149,,,0.070745287,2.878946072,6.84993291,-0.113532204,1.660142493,0.331216968,,,,,,,,,,0.16159667,5/17/1989,5/17/1989,5/17/1989,0,0,-0.0067,-0.0058
6/1/1989,1,1,-0.0125,,,,,,,,-0.03,-0.04,-0.05,-0.04,,,,,,,,-0.01879,-0.01824,-0.01317,0.09882,0.21545,,,-0.309069721,2.772696704,10.76093324,-0.13860629,-1.921185502,0.261926826,,,,,,,,,,0.299550898,6/6/1989,,6/6/1989,0,0,-0.0436,-0.0425
7/1/1989,1,1,-0.03583,,,,,,,,-0.09,-0.11,-0.12,-0.09,,,,,,,,-0.06609,-0.03556,-0.01885,0.71665,0.73666,,,-0.29868561,2.532089364,8.345551943,0.337569278,-5.305734551,0.222509577,,,,,,,,,,0.965253623,"1989-07-07,1989-07-25,1989-07-26,1989-07-27",7/7/1989,7/7/1989,0,0,-0.0530,-0.0492
8/1/1989,1,0,0,,,,,,,,-0.01,-0.02,-0.01,-0.02,,,,,,,,-0.00751,-0.00908,-0.00321,0.09061,-0.04368,,,-0.093958299,2.358513772,11.14534266,0.216351025,-8.802295437,0.096616229,,,,,,,,,,-0.200200267,8/23/1989,8/23/1989,8/23/1989,0,0,-0.0147,-0.0137
9/1/1989,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025759,2.198034214,9.212284572,-0.026111869,-3.872350049,0.033739698,,,,,,,,,,-0.051515728,,,,0,0,0.0000,0
10/1/1989,1,1,-0.17223,,,,,,,,0.03,0.02,0.05,0.04,,,,,,,,0.0075,0.01341,0.01557,0.9027,1.04484,,,-0.025759,2.198034214,6.918722993,-0.083286833,0.714095244,0.095384461,,,,,,,,,,0.018189872,"1989-10-04,1989-10-16,1989-10-19",10/4/1989,10/16/1989,0,0,0.0545,0.0568
11/1/1989,1,1,-0.12435,,,,,,,,-0.01,-0.01,-0.02,-0.03,,,,,,,,-0.01131,-0.00905,0.00591,0.14453,0.12743,,,-0.214594976,2.04894666,-1.666608546,-0.030292345,3.039068999,-0.036643839,,,,,,,,,,0.813307141,"1989-11-07,1989-11-08,1989-11-09,1989-11-15",11/15/1989,11/7/1989,0,0,0.0252,0.0285
12/1/1989,1,0,-0.16909,,,,,,,,-0.04,-0.03,-0.03,-0.02,,,,,,,,-0.0073,0,0.00302,0.3031,0.15819,,,0.147328682,1.982708692,-1.106605196,0.223429447,2.94125047,-0.069475866,,,,,,,,,,0.536041878,12/20/1989,12/20/1989,12/20/1989,0,0,-0.0203,-0.0194
1/1/1990,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064397263,1.796705326,2.376629482,0.085862777,2.478956705,0.040675644,,,,,,,,,,-0.501254182,,,,0,0,0.0000,0
2/1/1990,1,0,-0.014,,-0.01,-0.01,-0.02,-0.02,,,0.01,0.02,0,0.01,,,,,,,,0.01134,0.01382,0.01331,-0.1519,-0.28154,,-0.02,0.064397263,1.881205613,-1.800877148,0.228042166,3.280273928,0.073879542,,,,,,,,,,0.307861635,2/8/1990,2/8/1990,2/8/1990,0,0,0.0199,0.0206
3/1/1990,1,0,0,,0,0,-0.01,-0.02,,,-0.01,-0.03,-0.03,-0.03,,,,,,,,-0.01142,-0.00464,-0.01007,-0.17591,-0.10154,,-0.02,0.208473313,1.852835637,-3.575081497,0.234897721,4.067747851,0.116239407,,,,,,,,,,0.207502901,3/28/1990,3/28/1990,3/28/1990,1,0,-0.0159,-0.015
4/1/1990,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325029842,1.858647546,-2.575821572,0.21015532,1.172136085,0.040061493,,,,,,,,,,-0.076165466,,,,0,0,0.0000,0
5/1/1990,1,0,0,,0,0.01,0,0,,,-0.01,-0.02,-0.01,-0.02,,,,,,,,-0.01145,-0.00938,-0.01028,0.05109,0.25427,,0,0.325029842,1.731816211,1.437121739,0.056531781,1.17871871,0.031957908,,,,,,,,,,0.299550898,5/16/1990,5/16/1990,5/16/1990,0,0,-0.0083,-0.0074
6/1/1990,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.809150809,1.673460295,8.963465238,0.042657671,-1.538828694,0.074058905,,,,,,,,,,0.242415102,,,,0,0,0.0000,0
7/1/1990,1,1,-0.13777,,-0.07999,-0.07,-0.08,-0.1,,,-0.02,-0.03,-0.03,-0.02,,,,,,,,-0.00755,0.00919,0.00995,0.03229,-0.14909,,-0.1,-0.809150809,1.673460295,4.577808301,0.1745992,-3.111925723,0.149147467,,,,,,,,,,0.037554176,"1990-07-05,1990-07-13",7/5/1990,7/13/1990,0,0,-0.0086,-0.0069
8/1/1990,1,0,0,,0,0.01,0,0,,,0.01,0,0,0,,,,,,,,-0.00761,-0.00952,-0.01441,0.19733,0.07786,,0,-0.197652775,1.602721976,7.895997641,0.20262464,-0.462321581,0.124826874,,,,,,,,,,0,8/22/1990,8/22/1990,8/22/1990,0,0,0.0129,0.0137
9/1/1990,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.593985708,1.365039613,-11.32257471,0.707840679,10.99534618,0.079470157,,,,,,,,,,-0.601807233,,,,0,0,0.0000,0
10/1/1990,1,1,-0.01893,,-0.01,-0.04,-0.05,-0.02999,,,0,0,0,0,,,,,,,,-4.00E-05,-9.00E-05,-0.00013,-0.64347,-0.53637,,-0.02999,-0.593985708,1.059250262,-14.87636718,0.759808659,22.58899216,0.317900157,,,,,,,,,,-0.107549948,"1990-10-03,1990-10-29",10/3/1990,10/29/1990,1,0,0.0129,0.0145
11/1/1990,1,1,0.01875,,0.01,0.02,0.02,0.01,,,0.02,0.025,0,-0.02,,,,,,,,0.01112,0.02044,0.015,-0.62008,-0.07803,,0.01,-0.300589648,0.827167987,-15.83242719,0.580152754,9.094785181,0.392205339,,,,,,,,,,-0.407949469,"1990-11-14,1990-11-15,1990-11-16",11/14/1990,11/14/1990,0,0,0.0391,0.0415
12/1/1990,1,1,-0.30504,,-0.16,-0.2,-0.11,-0.19,,,-0.155,-0.1,-0.075,0.015,,,,,,,,-0.09859,-0.04669,-0.04136,0.902,1.11766,,-0.19,-0.163467855,0.431244762,-0.609522535,-0.043126788,-0.981449019,0.495458709,,,,,,,,,,-0.874108789,"1990-12-07,1990-12-18,1990-12-19",12/18/1990,12/18/1990,0,0,-0.0846,-0.0816
1/1/1991,1,1,-0.13478,,-0.1,-0.11,-0.06001,-0.1,,,-0.12,-0.12,-0.09,-0.1,,,,,,,-0.02449,-0.05144,-0.06304,-0.04586,0.36169,0.48769,,-0.1,-0.528650997,0.304581803,9.274850664,0.019601245,-11.73477932,0.530274606,,,,,,,,,,0.604869756,1/8/1991,,1/8/1991,0,0,-0.1011,-0.0997
2/1/1991,1,1,0,,0,-0.01,-0.02,-0.21,,,-0.1,-0.095,-0.08,-0.085,,,,,,,-0.0212,-0.0182,-0.0022,0.01726,-0.22618,0,,-0.21,-0.625974393,-0.642617408,13.04085234,0.158054587,-17.02327619,0.49833694,,,,,,,,,,1.239287601,"1991-02-01,1991-02-07",2/7/1991,2/1/1991,0,0,-0.0681,-0.0651
