date,dff,dtb,CCrate,ffr,rCD,gsr,rsr
1978-01,6.53,6.13,,-1.84413034,-1.43413034,,
1978-02,6.79,6.42,,0.443504264,0.553504264,,
1978-03,6.83,6.42,,-0.162077563,-0.132077563,,
1978-04,6.97,6.47,,0.046507823,0.106507823,,
1978-05,7.25,6.35,,0.53349364,0.68349364,,
1978-06,7.43,6.65,,-0.00303662,0.39696338,,
1978-07,8.01,7.01,,-2.014195399,-1.904195399,,
1978-08,8,6.76,,1.808076203,1.868076203,,
1978-09,8.4,7.54,,-0.53931365,-0.29931365,,
1978-10,8.9,7.98,,-0.006460674,0.533539326,,
1978-11,9.35,8.75,,0.755509732,2.125509732,,
1978-12,9.94,9.01,,0.492522776,1.272522776,,
1979-01,10.84,9.26,,0.101294728,-0.228705272,,
1979-02,10.57,9.29,,1.505635054,1.125635054,,
1979-03,10.24,9.45,,-0.653241763,-0.763241763,,
1979-04,10.07,9.44,,-0.059093219,-0.069093219,,
1979-05,10.43,9.56,,0.132230654,-0.137769346,,
1979-06,10.31,9.57,,-0.089044654,-0.449044654,,
1979-07,10.54,8.95,,-0.167157879,-0.597157879,,
1979-08,10.81,9.18,,0.045713382,-0.054286618,,
1979-09,11.29,9.81,,0.878959416,1.478959416,,
1979-10,12.16,10.12,,-0.421042926,1.078957074,,
1979-11,14.82,12.12,,3.06188857,2.14188857,,
1979-12,13.96,11.49,,0.753797003,0.223797003,,
1980-01,14.77,12.04,,2.058947499,0.678947499,,
1980-02,13.4,12,,-0.267071073,0.632928927,,
1980-03,16.33,14.01,,2.522007027,3.762007027,,
1980-04,19.85,14.24,,7.78301655,4.07301655,,
1980-05,14.64,10.39,,0.628226705,-4.221773295,,
1980-06,11.06,7.75,,-5.168680011,-7.738680011,,
1980-07,10.44,7.88,,0.056883579,-1.733116421,,
1980-08,9.93,8.62,,-5.213777223,-5.233777223,,
1980-09,10.74,9.96,,-2.556101528,-2.006101528,,
1980-10,13.19,11.44,,1.918646718,1.668646718,,
1980-11,13.77,12.71,,-0.373550215,1.536449785,,
1980-12,18.56,14.48,,6.454968381,6.544968381,,
1981-01,22,14.3,,11.4048685,6.5948685,,
1981-02,17.25,14.59,,7.878555626,6.768555626,,
1981-03,15.53,14.22,,4.03351645,2.93351645,,
1981-04,14.63,12.46,,5.65073248,6.10073248,,
1981-05,18.92,14.86,,9.485278704,8.835278704,,
1981-06,17.56,15.1,,8.455917506,7.795917506,,
1981-07,18.64,14.28,,9.277572257,8.397572257,,
1981-08,17.46,14.87,,4.08704226,4.58704226,,
1981-09,16.83,15.52,,5.68958156,5.69958156,,
1981-10,16.58,14.34,,4.945564717,3.755564717,,
1981-11,14.44,12.75,,7.201785588,5.241785588,,
1981-12,12.44,10.37,,3.501174505,3.551174505,,
