Month,Year,pcta
1,1978,1.230769231
2,1978,0.984375
3,1978,1.063492063
4,1978,1.029850746
5,1978,0.942028986
6,1978,1.015384615
7,1978,1.318181818
8,1978,0.793103448
9,1978,1.072463768
10,1978,1.013513514
11,1978,0.973333333
12,1978,1.068493151
1,1979,1.192307692
2,1979,0.946236559
3,1979,1.102272727
4,1979,1.010309278
5,1979,1.010204082
6,1979,1
7,1979,1
8,1979,0.96969697
9,1979,0.9375
10,1979,1.111111111
11,1979,0.99
12,1979,1.050505051
1,1980,0.961538462
2,1980,1.02
3,1980,0.990196078
4,1980,0.851485149
5,1980,0.988372093
6,1980,1.129411765
7,1980,0.791666667
8,1980,1.197368421
9,1980,1.054945055
10,1980,0.895833333
11,1980,1.127906977
12,1980,0.979381443
1,1981,0.905263158
2,1981,0.837209302
3,1981,1.111111111
4,1981,0.9125
5,1981,0.97260274
6,1981,0.957746479
7,1981,0.852941176
8,1981,1.189655172
9,1981,0.971014493
10,1981,1.089552239
11,1981,0.726027397
12,1981,0.962264151
1,1982,1.019607843
2,1982,0.807692308
3,1982,1.119047619
4,1982,0.744680851
5,1982,1.314285714
6,1982,1.086956522
7,1982,0.96
8,1982,0.9375
9,1982,1.044444444
10,1982,0.957446809
11,1982,0.822222222
12,1982,0.756756757
1,1983,1.071428571
2,1983,0.6
3,1983,1.888888889
4,1983,0.941176471
5,1983,1
6,1983,1
7,1983,1.03125
8,1983,1
9,1983,1.121212121
10,1983,0.945945946
11,1983,1
12,1983,0.914285714
1,1984,1.03125
2,1984,1.03030303
3,1984,1.147058824
4,1984,1.076923077
5,1984,1
6,1984,0.80952381
7,1984,0.882352941
8,1984,1
9,1984,1.166666667
10,1984,0.971428571
11,1984,0.970588235
12,1984,0.878787879
1,1985,1.068965517
2,1985,0.967741935
3,1985,1.1
4,1985,0.96969697
5,1985,1.0625
6,1985,0.823529412
7,1985,1
8,1985,1.035714286
9,1985,1.137931034
10,1985,0.939393939
11,1985,1.129032258
12,1985,0.828571429
1,1986,0.965517241
2,1986,0.821428571
3,1986,1.043478261
4,1986,1.125
5,1986,1.074074074
6,1986,0.965517241
7,1986,1.071428571
8,1986,0.966666667
9,1986,1.103448276
10,1986,0.875
11,1986,1.071428571
12,1986,0.966666667
1,1987,1.068965517
2,1987,0.967741935
3,1987,1
4,1987,1.133333333
5,1987,0.970588235
6,1987,0.939393939
7,1987,1.032258065
8,1987,0.9375
9,1987,1.1
10,1987,0.96969697
11,1987,0.96875
12,1987,1.032258065
1,1988,0.96875
2,1988,1.032258065
3,1988,1.03125
4,1988,1
5,1988,1.121212121
6,1988,1.243243243
7,1988,0.956521739
8,1988,0.886363636
9,1988,1
10,1988,0.948717949
11,1988,1.054054054
12,1988,0.897435897
1,1989,1.171428571
2,1989,0.902439024
3,1989,1.162162162
4,1989,1.069767442
5,1989,0.826086957
6,1989,1.078947368
7,1989,0.853658537
8,1989,0.971428571
9,1989,1.058823529
10,1989,0.972222222
11,1989,1
12,1989,1.171428571
1,1990,1
2,1990,0.902439024
3,1990,0.972972973
4,1990,0.944444444
5,1990,1.117647059
6,1990,0.894736842
7,1990,1.352941176
8,1990,1.02173913
9,1990,1.021276596
10,1990,0.979166667
11,1990,1
12,1990,0.829787234
1,1991,0.871794872
2,1991,0.970588235
3,1991,0.96969697
4,1991,0.96875
5,1991,1.064516129
6,1991,0.939393939
7,1991,1.032258065
8,1991,0.9375
9,1991,1.066666667
10,1991,0.90625
11,1991,0.931034483
12,1991,1
1,1992,0.962962963
2,1992,1
3,1992,1.153846154
4,1992,0.966666667
5,1992,1.068965517
